Ticks,HealthyPersonsInTown,InfectedPersonsInTown,IncPeriodPersonsInTown,IncPeriodPersonsInTown2,AntibioticTreatedPersonsInTown,AntibioticTreatedPersonsInTown2,InfectedPersonsInHospital,HealthyPersonsInHospital,pGetInfectedTown,AvMicResistance,AvPathResistance
86,9894,0,0,0,0,0,0,156,0,0,NaN
87,9891,0,0,0,0,0,0,159,0,0,NaN
88,9892,0,0,0,0,0,0,158,0,0,NaN
89,9903,0,0,0,0,0,0,147,0,0,NaN
90,9908,0,0,0,0,0,0,142,0,0,NaN
91,9907,0,0,0,0,0,0,143,0,0,NaN
92,9903,0,0,0,0,0,0,147,0,0,NaN
93,9912,0,0,0,0,0,0,138,0,0,NaN
94,9908,0,0,0,0,0,0,142,0,0,NaN
95,9907,0,0,0,0,0,0,143,0,0,NaN
96,9908,0,0,0,0,0,0,142,0,0,NaN
97,9908,0,0,0,0,0,0,142,0,0,NaN
98,9911,0,0,0,0,0,0,139,0,0,NaN
99,9913,0,0,0,0,0,0,137,0,0,NaN
